kanal,percobaan,tahap,deskripsi,pc_waktu,device_epoch,device_epoch_wib,nilai_disuntik,relayOn,mesin_menyala
Stepper_X,2,1,Tahan nilai tinggi (harus cutoff),2026-07-13T20:21:41.135569,1783948901,2026-07-13 20:21:41,4.5,True,False,1
Stepper_X,2,2,Coba resume saat tinggi (ekspektasi: ditolak),2026-07-13T20:21:47.180502,1783948907,2026-07-13 20:21:47,,True,False,1
Stepper_X,2,3,Tahan nilai zona histeresis,2026-07-13T20:21:53.201897,1783948913,2026-07-13 20:21:53,2.8,True,False,1
Stepper_X,2,4,Coba resume di zona histeresis (ekspektasi: ditolak),2026-07-13T20:21:59.235679,1783948919,2026-07-13 20:21:59,,True,False,1
Stepper_X,2,5,Tahan nilai di bawah ambang resume,2026-07-13T20:22:05.257689,1783948925,2026-07-13 20:22:05,2.2,True,False,1
Stepper_X,2,6,Coba resume di bawah ambang resume (ekspektasi: diterima),2026-07-13T20:22:11.286607,1783948931,2026-07-13 20:22:11,,False,True,1
Stepper_X,3,1,Tahan nilai tinggi (harus cutoff),2026-07-13T20:22:23.374140,1783948943,2026-07-13 20:22:23,4.5,True,False,1
Stepper_X,3,2,Coba resume saat tinggi (ekspektasi: ditolak),2026-07-13T20:22:29.411942,1783948949,2026-07-13 20:22:29,,True,False,1
Stepper_X,3,3,Tahan nilai zona histeresis,2026-07-13T20:22:35.456293,1783948955,2026-07-13 20:22:35,2.8,True,False,1
Stepper_X,3,4,Coba resume di zona histeresis (ekspektasi: ditolak),2026-07-13T20:22:41.490552,1783948961,2026-07-13 20:22:41,,True,False,1
Stepper_X,3,5,Tahan nilai di bawah ambang resume,2026-07-13T20:22:47.531990,1783948967,2026-07-13 20:22:47,2.2,True,False,1
Stepper_X,3,6,Coba resume di bawah ambang resume (ekspektasi: diterima),2026-07-13T20:22:53.584454,1783948973,2026-07-13 20:22:53,,False,True,1
Stepper_X,4,1,Tahan nilai tinggi (harus cutoff),2026-07-13T20:23:05.632448,1783948985,2026-07-13 20:23:05,4.5,True,False,1
Stepper_X,4,2,Coba resume saat tinggi (ekspektasi: ditolak),2026-07-13T20:23:11.676834,1783948991,2026-07-13 20:23:11,,True,False,1
Stepper_X,4,3,Tahan nilai zona histeresis,2026-07-13T20:23:17.697567,1783948997,2026-07-13 20:23:17,2.8,True,False,1
Stepper_X,4,4,Coba resume di zona histeresis (ekspektasi: ditolak),2026-07-13T20:23:23.737892,1783949003,2026-07-13 20:23:23,,True,False,1
Stepper_X,4,5,Tahan nilai di bawah ambang resume,2026-07-13T20:23:29.793956,1783949009,2026-07-13 20:23:29,2.2,True,False,1
Stepper_X,4,6,Coba resume di bawah ambang resume (ekspektasi: diterima),2026-07-13T20:23:35.814399,1783949015,2026-07-13 20:23:35,,False,True,1
Stepper_X,5,1,Tahan nilai tinggi (harus cutoff),2026-07-13T20:23:47.899128,1783949027,2026-07-13 20:23:47,4.5,True,False,1
Stepper_X,5,2,Coba resume saat tinggi (ekspektasi: ditolak),2026-07-13T20:23:53.933096,1783949033,2026-07-13 20:23:53,,True,False,1
Stepper_X,5,3,Tahan nilai zona histeresis,2026-07-13T20:23:59.968721,1783949039,2026-07-13 20:23:59,2.8,True,False,1
Stepper_X,5,4,Coba resume di zona histeresis (ekspektasi: ditolak),2026-07-13T20:24:05.999242,1783949045,2026-07-13 20:24:05,,True,False,1
Stepper_X,5,5,Tahan nilai di bawah ambang resume,2026-07-13T20:24:12.031800,1783949051,2026-07-13 20:24:11,2.2,True,False,1
Stepper_X,5,6,Coba resume di bawah ambang resume (ekspektasi: diterima),2026-07-13T20:24:18.083727,1783949057,2026-07-13 20:24:17,,False,True,1
Stepper_X,6,1,Tahan nilai tinggi (harus cutoff),2026-07-13T20:24:30.131109,1783949069,2026-07-13 20:24:29,4.5,True,False,1
Stepper_X,6,2,Coba resume saat tinggi (ekspektasi: ditolak),2026-07-13T20:24:36.171843,1783949075,2026-07-13 20:24:35,,True,False,1
Stepper_X,6,3,Tahan nilai zona histeresis,2026-07-13T20:24:42.210983,1783949081,2026-07-13 20:24:41,2.8,True,False,1
Stepper_X,6,4,Coba resume di zona histeresis (ekspektasi: ditolak),2026-07-13T20:24:48.259332,1783949087,2026-07-13 20:24:47,,True,False,1
Stepper_X,6,5,Tahan nilai di bawah ambang resume,2026-07-13T20:24:54.319923,1783949093,2026-07-13 20:24:53,2.2,True,False,1
Stepper_X,6,6,Coba resume di bawah ambang resume (ekspektasi: diterima),2026-07-13T20:25:00.370979,1783949099,2026-07-13 20:24:59,,False,True,1
Stepper_X,7,1,Tahan nilai tinggi (harus cutoff),2026-07-13T20:25:12.435600,1783949111,2026-07-13 20:25:11,4.5,True,False,1
Stepper_X,7,2,Coba resume saat tinggi (ekspektasi: ditolak),2026-07-13T20:25:18.480475,1783949117,2026-07-13 20:25:17,,True,False,1
Stepper_X,7,3,Tahan nilai zona histeresis,2026-07-13T20:25:24.525304,1783949123,2026-07-13 20:25:23,2.8,True,False,1
