kanal,percobaan,tahap,deskripsi,pc_waktu,device_epoch,device_epoch_wib,nilai_disuntik,relayOn,mesin_menyala
Stepper_Z,8,5,Tahan nilai di bawah ambang resume,2026-07-13T21:08:33.285377,1783951713,2026-07-13 21:08:33,47.0,True,False,1
Stepper_Z,8,6,Coba resume di bawah ambang resume (ekspektasi: diterima),2026-07-13T21:08:39.327078,1783951719,2026-07-13 21:08:39,,False,True,1
Stepper_Z,9,1,Tahan nilai tinggi (harus cutoff),2026-07-13T21:08:51.386568,1783951731,2026-07-13 21:08:51,66.0,True,False,1
Stepper_Z,9,2,Coba resume saat tinggi (ekspektasi: ditolak),2026-07-13T21:08:57.423898,1783951737,2026-07-13 21:08:57,,True,False,1
Stepper_Z,9,3,Tahan nilai zona histeresis,2026-07-13T21:09:03.460003,1783951743,2026-07-13 21:09:03,53.0,True,False,1
Stepper_Z,9,4,Coba resume di zona histeresis (ekspektasi: ditolak),2026-07-13T21:09:09.505576,1783951749,2026-07-13 21:09:09,,True,False,1
Stepper_Z,9,5,Tahan nilai di bawah ambang resume,2026-07-13T21:09:15.524949,1783951755,2026-07-13 21:09:15,47.0,True,False,1
Stepper_Z,9,6,Coba resume di bawah ambang resume (ekspektasi: diterima),2026-07-13T21:09:21.571192,1783951761,2026-07-13 21:09:21,,False,True,1
Stepper_Z,10,1,Tahan nilai tinggi (harus cutoff),2026-07-13T21:09:33.645760,1783951773,2026-07-13 21:09:33,66.0,True,False,1
Stepper_Z,10,2,Coba resume saat tinggi (ekspektasi: ditolak),2026-07-13T21:09:39.692291,1783951779,2026-07-13 21:09:39,,True,False,1
Stepper_Z,10,3,Tahan nilai zona histeresis,2026-07-13T21:09:45.703022,1783951785,2026-07-13 21:09:45,53.0,True,False,1
Stepper_Z,10,4,Coba resume di zona histeresis (ekspektasi: ditolak),2026-07-13T21:09:51.739066,1783951791,2026-07-13 21:09:51,,True,False,1
Stepper_Z,10,5,Tahan nilai di bawah ambang resume,2026-07-13T21:09:57.770174,1783951797,2026-07-13 21:09:57,47.0,True,False,1
Stepper_Z,10,6,Coba resume di bawah ambang resume (ekspektasi: diterima),2026-07-13T21:10:03.808422,1783951803,2026-07-13 21:10:03,,False,True,1
